w Re(f(w)) Im(f(w))
34751.8796992481 1.66274833586611E-05 2.938094297999E-06
35248.1203007519 -6.82252110435979E-06 -1.92002903903562E-05
35744.3609022556 -8.15083846923542E-06 2.2532148986645E-05
36240.6015037594 1.8382192847984E-05 -3.40596256251087E-05
36736.8421052632 -2.37174400225208E-05 1.44708050954841E-05
37233.0827067669 2.01498324984391E-05 -6.09856952052264E-06
37729.3233082707 -1.80628952977644E-05 -1.3967734417424E-06
38225.5639097744 6.93264758061115E-06 1.18231923545616E-05
38721.8045112782 1.6606611965022E-06 -8.77801103028659E-06
39218.045112782 -1.40098151566497E-05 1.7032975487871E-06
39714.2857142857 7.0262985335732E-06 1.0871008123985E-05
40210.5263157895 3.23482229104247E-06 -2.32585919503557E-05
40706.7669172932 -5.16695822211474E-06 2.921724211372E-05
41203.007518797 1.40730748079439E-05 -2.14563763913225E-05
41699.2481203007 -2.31811987575401E-05 1.20845276249273E-05
42195.4887218045 2.36071895783547E-05 2.19434437528489E-06
42691.7293233083 -7.27848735225108E-06 -1.3908306880164E-05
43187.969924812 -5.13553541457489E-06 1.68794162832566E-05
43684.2105263158 6.44917382442944E-06 -1.40923169067122E-05
44180.4511278196 -1.72102831747695E-05 1.29487385420018E-06
44676.6917293233 1.01052847183604E-05 7.31096318855899E-06
45172.9323308271 1.23407860941498E-06 -1.16512178603661E-05
45669.1729323308 -1.35621033096812E-05 1.28107244088673E-05
46165.4135338346 1.10861267398999E-05 2.94683831979801E-06
46661.6541353383 -1.27210419274806E-05 -1.51633242535206E-05
47157.8947368421 1.07141991004766E-05 2.33980468652666E-05
47654.1353383459 1.26913759898524E-06 -2.05963797228804E-05
48150.3759398496 -1.06194884395383E-05 1.65963360212816E-05
48646.6165413534 9.77240307979756E-06 -4.37983051473201E-06
49142.8571428571 -7.92009741932896E-06 -7.1815070282609E-06
49639.0977443609 1.6913250021253E-06 1.05137908390184E-05
50135.3383458647 2.95221121156681E-06 -8.63294763472336E-06
50631.5789473684 -6.47646310114309E-06 -8.15846311282946E-07
51127.8195488722 4.10850418439287E-07 2.01522314986359E-06
51624.0601503759 1.17751914000525E-05 4.45492391767953E-06
52120.3007518797 -3.00565375420783E-05 -8.27560927239974E-06
52616.5413533835 2.8264106623291E-05 1.3133699459922E-05
53112.7819548872 -1.46197560942421E-05 -1.71290457656253E-05
53609.022556391 8.05307333933842E-06 1.819218031421E-05
54105.2631578947 2.50048141372093E-06 -1.13466246908793E-05
54601.5037593985 -3.81497285759271E-06 5.71124581802857E-06
55097.7443609023 3.48162652631048E-06 2.71837536830015E-07
55593.984962406 7.16314966663108E-06 2.49109707262195E-06
56090.2255639098 -9.14198608966094E-06 -9.67150947737849E-06
