w Re(f(w)) Im(f(w))
17879.6992481203 9.80666265044649E-06 8.36527210567892E-05
18375.9398496241 -3.88836752243975E-05 -6.41063698001982E-06
18872.1804511278 1.49638454393706E-06 1.70359538266807E-05
19368.4210526316 -1.61385914779653E-05 -1.54591468120578E-05
19864.6616541353 1.75290469999473E-05 9.43404229706447E-06
20360.9022556391 1.5794853883659E-05 -1.63682329941399E-05
20857.1428571429 -2.9381599612102E-05 2.6871135421403E-05
21353.3834586466 -2.05653936398977E-05 1.26497382171822E-06
21849.6240601504 -3.49760274902696E-05 6.96183921120788E-06
22345.8646616541 1.23959940218962E-05 -4.37329365097253E-06
22842.1052631579 1.25387610721638E-05 -1.1801975582262E-05
23338.3458646617 -1.10209693010816E-05 1.76464940046768E-05
23834.5864661654 6.5342972797529E-06 -1.08415671289014E-06
24330.8270676692 -5.22689228713104E-06 5.9864657470042E-06
24827.0676691729 -4.43124368112863E-06 1.6826625158155E-05
25323.3082706767 1.83349199975266E-05 -3.18659983533222E-05
25819.5488721805 -3.80503777568262E-05 2.3461157079019E-05
26315.7894736842 4.59018265711997E-05 -3.51571651314328E-05
26812.030075188 -3.6115397407933E-05 1.49867052413761E-05
27308.2706766917 2.94848423930123E-05 -2.41021855133233E-06
27804.5112781955 -2.27046213178196E-05 -1.46606319059863E-05
28300.7518796993 1.17611166352552E-05 1.08005047093944E-05
28796.992481203 4.68320412993499E-06 -3.08596821198373E-06
29293.2330827068 -1.17428502400182E-05 -6.24314862805252E-06
29789.4736842105 -1.01424150524945E-05 6.88656755965525E-06
30285.7142857143 3.76216041198197E-05 -2.15972454218341E-05
30781.954887218 -4.21869464819418E-05 3.10857993047365E-05
31278.1954887218 4.84398399145108E-05 -1.44122969434425E-05
31774.4360902256 -5.2978629294351E-05 -3.81078416910908E-06
32270.6766917293 1.97554456747333E-05 2.29174199403568E-05
32766.9172932331 4.16720161925762E-06 -3.70372018333657E-05
33263.1578947368 9.81949146037673E-06 9.9262263560474E-06
33759.3984962406 1.31790721538488E-05 -1.36453882809943E-05
34255.6390977444 -1.55698128976447E-05 -1.97861869465001E-05
34751.8796992481 -1.6405149590754E-05 1.2778463114768E-05
35248.1203007519 1.69742073399101E-05 -1.90210164952176E-05
35744.3609022556 -2.75226400986173E-05 5.95432662815262E-06
36240.6015037594 8.90731884597663E-06 1.14887472245299E-05
36736.8421052632 6.40994970046442E-06 -2.98191334503262E-05
37233.0827067669 -1.76531501175221E-05 3.00554336689185E-05
37729.3233082707 2.01479648172669E-05 -1.3242007251699E-05
38225.5639097744 -2.22561436730804E-05 -4.98167213545878E-06
38721.8045112782 3.44197181630984E-06 1.45837456138182E-05
39218.045112782 9.49434181175339E-06 -1.3741978332612E-05
39714.2857142857 -1.25013151129279E-05 -8.25814857826461E-07
40210.5263157895 1.13643377720781E-05 1.31983227464027E-05
40706.7669172932 1.90256627737995E-06 -1.17720752024739E-05
41203.007518797 -2.34732020813912E-05 1.65785395861391E-06
41699.2481203007 3.6478237669786E-05 1.72530705241599E-05
42195.4887218045 -3.31724091297979E-05 -2.45660483044484E-05
42691.7293233083 3.3776673080121E-06 2.2955572091449E-05
43187.969924812 1.4721581481645E-05 -1.60562927414903E-05
43684.2105263158 -1.18003037907229E-05 4.7094402507996E-06
44180.4511278196 1.34634353580619E-05 1.31912324703773E-05
44676.6917293233 2.11861468361476E-06 -1.47607304822185E-05
45172.9323308271 -1.04320776634995E-05 2.85397027016596E-06
45669.1729323308 7.15134504021579E-06 1.1470330329407E-05
46165.4135338346 1.06209790760432E-05 -1.46795566652788E-05
46661.6541353383 -2.98433327721529E-05 8.68613205604613E-06
47157.8947368421 2.91048136888629E-05 4.32419219719766E-06
47654.1353383459 -1.85205380311178E-05 -2.08343200389665E-05
48150.3759398496 6.76273153459442E-06 2.24629851278655E-05
48646.6165413534 9.20748243401496E-06 -8.87462728072987E-06
49142.8571428571 -1.82586108991477E-05 -1.04791421554157E-06
49639.0977443609 8.21012108232429E-06 7.49499925632772E-06
50135.3383458647 3.05590050215644E-06 -1.18444434326291E-06
50631.5789473684 -3.25302534409151E-06 -2.413874939866E-06
51127.8195488722 -6.99898666834031E-06 2.08381924953644E-06
51624.0601503759 1.97401602080764E-05 7.34398781238591E-06
52120.3007518797 -2.66041123629473E-05 -1.38593381955589E-05
52616.5413533835 1.68796392386951E-05 1.39078583997206E-05
53112.7819548872 3.8527956845878E-06 -2.40869949602945E-05
53609.022556391 -1.47091685995835E-05 1.20403493945534E-05
