w Re(f(w)) Im(f(w))
27308.2706766917 -1.70419460366881E-05 4.79071890754698E-06
27804.5112781955 3.48378368807626E-06 2.05563909724895E-06
28300.7518796993 -3.37791744968156E-06 -1.22652690744074E-05
28796.992481203 -2.03774368932455E-06 1.48785928695697E-05
29293.2330827068 -3.04726325792745E-06 -1.54080562725344E-05
29789.4736842105 2.22004172240607E-06 1.38383937875294E-05
30285.7142857143 9.64998741145879E-06 -1.11065464303921E-05
30781.954887218 -5.49326175289525E-06 1.00846297266374E-05
31278.1954887218 1.0683355340142E-06 -1.02905295369735E-05
31774.4360902256 -7.39317628076726E-06 -1.23191878833815E-07
32270.6766917293 8.74900973864024E-06 3.17053793844207E-06
32766.9172932331 -1.41585792400256E-05 -2.77996517068949E-06
33263.1578947368 1.36216336400768E-05 -8.23983105978634E-06
33759.3984962406 -1.4458131140824E-05 6.31713111728999E-07
34255.6390977444 2.09685345848955E-06 -5.97709017637971E-06
34751.8796992481 3.05900181229556E-06 5.32352741354606E-06
35248.1203007519 4.50186414593221E-06 2.11543810098417E-06
35744.3609022556 -2.78982692043236E-06 -1.01571915011807E-06
36240.6015037594 2.48883692403782E-06 -2.12615307659019E-06
36736.8421052632 -5.6492921579759E-06 -5.4225459495651E-07
37233.0827067669 2.25504354040446E-06 2.49343099141655E-06
37729.3233082707 -3.90665015170628E-06 -4.38922571700367E-06
38225.5639097744 1.4121942091763E-05 5.99569195350896E-06
38721.8045112782 -1.13325214394447E-05 6.88442030032489E-06
39218.045112782 2.22305775472043E-07 -1.01250337488895E-06
39714.2857142857 -1.2194666000496E-06 -1.3215893846235E-06
40210.5263157895 1.98543404512626E-06 5.62436141702002E-06
40706.7669172932 -1.79073262508374E-06 3.79306728647777E-06
41203.007518797 6.63806255431455E-07 -2.5572807508974E-06
41699.2481203007 4.16451522534548E-06 3.67486447401712E-06
42195.4887218045 4.54171115585501E-06 -2.74004969165507E-06
42691.7293233083 -4.76895736139746E-06 3.78709325587406E-06
43187.969924812 6.17648741145287E-06 -4.63015751404126E-06
43684.2105263158 -3.70536521551015E-06 8.26615289659114E-06
44180.4511278196 -1.03897147193339E-05 4.12008332782073E-06
44676.6917293233 -1.08687280207707E-06 -8.20180673047166E-06
45172.9323308271 -4.3390342431092E-06 3.43906499085671E-06
45669.1729323308 4.49870442970669E-06 3.1123912740405E-06
46165.4135338346 -1.09070352185539E-05 -6.68706068434109E-06
46661.6541353383 1.04323631788955E-05 9.99813437107478E-06
47157.8947368421 -6.04092996835345E-06 -6.65962054864703E-06
47654.1353383459 -3.332032018153E-06 1.06156853479153E-05
48150.3759398496 1.03967716894131E-05 -9.6451675969516E-06
48646.6165413534 -9.52456732567677E-06 1.1574011124249E-05
49142.8571428571 4.4797062722101E-06 -5.28411389616666E-06
49639.0977443609 -6.39189512886978E-06 -9.21299834901305E-07
50135.3383458647 3.58741954667661E-07 9.13096855069621E-07
50631.5789473684 -1.48041908512472E-06 -1.13474634199267E-06
51127.8195488722 1.6648841369929E-08 1.84662105269898E-06
51624.0601503759 2.68538963480735E-06 -3.47984111452377E-06
