w Re(f(w)) Im(f(w))
49639.0977443609 1.19102423902966E-06 -1.21513447111799E-05
50135.3383458647 -9.05705316972105E-06 1.0553348673016E-05
50631.5789473684 5.95337323742442E-06 9.91215284315623E-07
51127.8195488722 -6.39138782524696E-08 5.75230679619833E-07
51624.0601503759 1.04895291845109E-05 -1.4035297288658E-05
52120.3007518797 -1.73447770119388E-05 2.41195476193882E-05
52616.5413533835 2.98777034742929E-05 -1.2585710100438E-05
53112.7819548872 -1.12934857688208E-05 -9.32644115647446E-07
53609.022556391 -1.74602162898785E-06 1.29499872147411E-05
54105.2631578947 1.29760921385813E-05 -4.21505258958717E-06
54601.5037593985 -7.29242300110332E-06 -7.40884673510026E-06
55097.7443609023 -5.73759736130765E-06 3.0387941493802E-06
55593.984962406 5.93384806210213E-06 2.08251902484456E-05
56090.2255639098 4.89744352749198E-06 -2.83828102114031E-05
56586.4661654135 -2.42186556978563E-05 1.76120987215897E-05
57082.7067669173 2.4375725338953E-05 1.36162128170652E-05
57578.947368421 -2.23427669511576E-06 -3.16844653885576E-05
58075.1879699248 -2.71158012584326E-05 2.39198344322839E-05
58571.4285714286 2.76508037902101E-05 6.39237717655346E-06
59067.6691729323 -1.05427362532241E-05 -3.08431279104977E-05
59563.9097744361 -9.9841347392445E-06 2.52682058397149E-05
60060.1503759398 1.92884819997737E-05 -3.74582226721806E-06
60556.3909774436 -6.79439342422819E-06 -1.13321699596833E-05
61052.6315789474 -7.82804998191188E-06 1.14298074498889E-05
61548.8721804511 6.52451378042201E-06 4.4383293391016E-06
62045.1127819549 4.18509822300336E-06 -6.90369600402979E-06
62541.3533834586 -2.58778119807091E-06 -3.30743908023919E-06
63037.5939849624 5.66469770073903E-06 1.62949068329617E-05
63533.8345864662 1.34784302876249E-05 -7.46415736926302E-06
64030.0751879699 -1.28111354853254E-05 -1.01052218465403E-05
64526.3157894737 -3.96356033984903E-06 1.58151638645507E-05
65022.5563909774 4.32068140189794E-06 -2.08212108953082E-06
65518.7969924812 -2.01787041155871E-05 -6.70028193557904E-06
66015.0375939849 2.38452560794517E-06 2.32860647994227E-05
66511.2781954887 1.71362288028743E-05 -7.2909925052666E-06
67007.5187969925 -1.2013259333377E-05 -3.24740819511816E-06
67503.7593984962 -2.86077342014259E-06 8.713520592063E-06
68000 7.06390147727105E-06 -3.72134030588518E-06
68496.2406015038 -5.94224676340179E-06 -3.80107177386069E-06
68992.4812030075 -4.74291320666649E-06 9.07070846025585E-06
69488.7218045113 6.87955716472816E-06 6.59104816662227E-07
69984.962406015 -2.80662458063563E-06 -6.6145280406796E-06
70481.2030075188 -5.21859692933394E-06 3.86085470116179E-06
70977.4436090226 6.70572919707489E-06 6.96809757998769E-06
71473.6842105263 2.82253906737199E-06 -6.86065567158775E-06
71969.9248120301 -4.3172284085421E-06 -9.45161097894538E-08
72466.1654135338 4.48835351318546E-07 4.08862096882367E-06
72962.4060150376 3.51695790978035E-06 6.61870825739711E-07
73458.6466165413 -3.07453468225145E-06 -1.0954204543352E-05
73954.8872180451 -3.21402284235764E-06 1.05131176940007E-05
74451.1278195489 6.15835001464868E-06 -5.54444218856531E-06
74947.3684210526 -5.54234061260147E-06 -6.57487142708599E-06
75443.6090225564 -4.75758127622235E-06 8.51178200169823E-06
75939.8496240601 1.11528023797721E-05 1.32252861958303E-06
76436.0902255639 -3.43566551696031E-06 -9.54570596324939E-06
76932.3308270677 -6.79705998478837E-06 5.12055435457319E-06
77428.5714285714 8.12901482734929E-06 5.91584118943394E-06
77924.8120300752 3.28772095965344E-06 -1.17764832206425E-05
78421.0526315789 -1.11388966080395E-05 3.43771736257577E-06
78917.2932330827 6.80087541094127E-06 5.43870090297431E-06
79413.5338345865 2.30145228304481E-06 -6.33734078939508E-06
79909.7744360902 -7.25838432815548E-06 4.49128638885176E-07
80406.015037594 3.51329905821334E-06 6.07219857013508E-06
80902.2556390977 2.15025907513739E-06 -6.19970098975231E-06
81398.4962406015 -5.21073388371135E-06 3.93691204461116E-07
81894.7368421053 3.65513642159156E-07 3.10882297692873E-06
82390.977443609 5.79207455834152E-06 5.41281776348729E-07
82887.2180451128 -2.155112176562E-06 -5.83975030188568E-06
83383.4586466165 -4.77311129621441E-06 4.77380205678753E-06
83879.6992481203 3.54187257633222E-06 4.23812139890564E-06
84375.9398496241 4.50414687641288E-06 -5.11464641396977E-06
84872.1804511278 -6.36321785686708E-06 -2.25246939851106E-06
85368.4210526316 9.98351184269788E-07 5.5507448227787E-06
85864.6616541353 4.09163178760424E-06 -3.77628826997364E-06
86360.9022556391 -3.37119176591088E-06 -2.60313855528618E-06
86857.1428571428 -2.02514824475645E-06 4.59626918702155E-06
87353.3834586466 4.36895860149553E-06 -1.06841896879013E-06
87849.6240601504 -3.53990197220842E-06 -1.469345136823E-06
88345.8646616541 4.57660253791612E-07 4.12799698566466E-06
88842.1052631579 2.76038986803237E-06 -1.23731165317265E-06
89338.3458646616 -1.05701432504673E-06 -5.8999490760862E-07
89834.5864661654 -1.1431706760591E-06 1.85494612384962E-06
